job,operation,machine,processing_time,energy_consumption
0,0,1,29,3
0,0,0,17,8
0,0,2,16,5
0,1,2,27,4
0,1,0,14,6
0,1,1,25,3
0,2,2,15,3
0,2,3,12,2
0,2,1,18,4
1,3,0,13,6
1,3,2,9,7
1,3,1,4,4
1,3,3,6,5
1,4,0,21,5
1,4,1,27,3
1,4,3,20,3
1,4,2,30,5
1,5,3,18,9
1,5,0,29,10
1,5,1,29,10
1,5,2,31,9
2,6,0,14,6
2,6,3,15,4
2,6,2,24,9
2,7,2,21,7
2,7,3,27,8
2,7,0,17,6
2,7,1,24,8
2,8,3,28,9
2,8,2,22,9
2,8,0,21,9
3,9,0,18,6
3,9,1,13,8
3,9,2,21,5
3,9,3,14,7
3,10,3,18,4
3,10,2,27,3
3,10,0,25,5
3,10,1,22,7
3,11,0,24,5
3,11,1,19,2
3,11,3,18,5
4,12,2,6,2
4,12,1,4,4
4,12,3,4,5
4,13,1,22,2
4,13,2,12,1
4,13,0,12,5
4,14,1,10,6
4,14,3,2,9
4,14,0,1,9
5,15,0,14,6
5,15,3,9,8
5,15,1,6,10
5,15,2,7,7
5,16,1,14,7
5,16,2,24,6
5,16,3,16,3
5,17,1,16,3
5,17,3,26,3
5,17,2,17,5
5,17,0,14,5
6,18,2,15,7
6,18,1,8,4
6,18,3,12,3
6,18,0,17,3
6,19,1,16,3
6,19,2,14,3
6,19,0,11,2
6,19,3,18,2
6,20,3,18,4
6,20,0,23,4
6,20,2,24,2
7,21,3,14,6
7,21,0,20,7
7,21,1,9,4
7,21,2,12,6
7,22,2,21,4
7,22,0,24,3
7,22,1,20,7
7,22,3,19,7
7,23,3,15,8
7,23,2,27,7
7,23,1,20,5
7,23,0,25,5
8,24,1,15,6
8,24,0,15,8
8,24,2,11,5
8,25,1,14,7
8,25,2,28,6
8,25,0,19,3
8,25,3,14,5
8,26,1,24,5
8,26,2,18,8
8,26,0,19,4
9,27,1,22,3
9,27,3,17,3
9,27,2,14,5
9,28,2,18,8
9,28,0,17,5
9,28,1,18,4
9,28,3,24,9
9,29,2,5,2
9,29,0,7,6
9,29,1,2,4
9,29,3,5,3
10,30,3,19,1
10,30,0,20,6
10,30,1,20,5
10,31,0,18,1
10,31,2,27,2
10,31,3,21,4
10,32,2,16,5
10,32,1,7,2
10,32,3,5,4
11,33,0,11,6
11,33,2,3,3
11,33,3,8,3
11,33,1,4,2
11,34,3,22,7
11,34,1,29,2
11,34,2,30,2
11,34,0,16,3
11,35,0,17,5
11,35,2,13,4
11,35,3,9,7
